geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
lbr,Liberia,39,55,46,76,62,90,90,98,105,99,93,80,78,81,99,83,69,59,55,47,54,49,48,43,35
lby,Libya,15,15,14,14,16,13,14,12,12,10,9.8,9.4,6.8,6.8,7.2,7.9,7.3,6.9,5.3,4.3,8.7,9.5,10,12,13
lca,St. Lucia,0.75,0.66,1,1.2,3.5,3.2,1.9,1.9,1.4,0.77,0.51,0.63,0.53,2.6,1.4,1.2,0.57,0.52,0.86,1,1.1,1.3,0.48,0.48,0.48
lka,Sri Lanka,8.3,8.1,7.5,7.6,9.4,5.3,5.6,5.4,5.6,5.8,4.8,4.7,3.9,3.9,3.4,3.8,3.5,3.5,3.5,3.4,3.6,3.6,3.6,3.5,3.6
lso,Lesotho,268,418,384,350,441,493,468,443,483,476,464,420,394,366,322,311,281,260,242,235,229,239,236,210,187
ltu,Lithuania,14,14,13,13,9.8,13,13,13,12,44,8.4,8.4,9.8,8.5,9.1,7.8,7.2,6.5,4.8,4.6,4.1,3.9,4.2,4.8,4.6
lux,Luxembourg,1.1,1.4,0.92,1.3,0.57,0.41,0.35,0.55,0.45,0.36,0.29,0.46,0.31,0.27,0.23,0.23,0.23,0.57,0.35,0.23,0.16,0.17,0.22,0.28,0.28
lva,Latvia,23,22,17,17,11,11,11,9.4,8.4,7.9,7,6.3,6.7,6.5,7.2,7.9,5.6,5,4,4.7,3.7,3.9,3.4,3.3,2.7
mar,Morocco,8.7,8.4,8.7,7.7,7.4,7.4,7.2,6.9,7.1,7.2,7.5,7.4,7.2,7.4,7.5,7.5,7.7,7.4,7.4,7.2,6.7,6.7,6.9,7.3,7.4
mco,Monaco,,,,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.09,0.03,0.03,0.04,,,0.16,,0.08,,,,0.03,0.03,0.02
mda,Moldova,22,19,20,20,22,22,22,21,19,19,18,15,14,10,10,8.9,8,6.5,6.2,5.6,7.1,6.2,7.5,7.1,7.1
mdg,Madagascar,50,54,56,55,56,61,57,59,60,59,56,54,55,54,50,49,49,47,43,40,43,39,35,36,34
mdv,Maldives,5.2,6,8.6,2.5,0.97,1.7,2,2,2.3,2.2,2.3,2.6,1.6,2.1,2,1.6,2.9,2.4,2.3,2.1,1.9,1.8,1.7,1.6,1.6
mex,Mexico,4.8,4.5,4.1,4,3.1,3.3,3,2.8,3,2.7,2.8,2.9,2.7,2.7,2.5,2.7,2.7,2.6,2.4,2.7,3.1,3,3.7,2.9,3
mhl,Marshall Islands,55,87,77,87,165,152,170,172,122,126,153,107,110,112,105,101,129,145,313,171,112,92,82,178,79
mkd,North Macedonia,5,4.6,3.8,4.2,3,3.3,3.1,2.9,2.4,0.96,1.7,1.3,1.2,1,1.2,0.93,1.4,0.56,1.2,0.46,1.1,0.67,0.59,0.68,0.68
mli,Mali,24,23,23,23,24,24,23,22,20,17,21,20,17,17,17,14,14,14,13,13,12,11,9.9,8.9,8.1
